,date,year,month,value,state,area,supersector,industry,data_type
0,2000-01-01,2000,01,2386.2,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
1,2000-02-01,2000,02,2399.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
2,2000-03-01,2000,03,2438.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
3,2000-04-01,2000,04,2456.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
4,2000-05-01,2000,05,2474.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
5,2000-06-01,2000,06,2496.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
6,2000-07-01,2000,07,2485.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
7,2000-08-01,2000,08,2482.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
8,2000-09-01,2000,09,2498.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
9,2000-10-01,2000,10,2501.2,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
10,2000-11-01,2000,11,2513.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
11,2000-12-01,2000,12,2527.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
12,2001-01-01,2001,01,2428.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
13,2001-02-01,2001,02,2446.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
14,2001-03-01,2001,03,2468.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
15,2001-04-01,2001,04,2479.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
16,2001-05-01,2001,05,2499.7,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
17,2001-06-01,2001,06,2516.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
18,2001-07-01,2001,07,2492.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
19,2001-08-01,2001,08,2493.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
20,2001-09-01,2001,09,2492.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
21,2001-10-01,2001,10,2500.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
22,2001-11-01,2001,11,2510.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
23,2001-12-01,2001,12,2518.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
24,2002-01-01,2002,01,2435.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
25,2002-02-01,2002,02,2452.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
26,2002-03-01,2002,03,2479.7,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
27,2002-04-01,2002,04,2489.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
28,2002-05-01,2002,05,2510.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
29,2002-06-01,2002,06,2522.2,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
30,2002-07-01,2002,07,2504.7,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
31,2002-08-01,2002,08,2504.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
32,2002-09-01,2002,09,2507.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
33,2002-10-01,2002,10,2506.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
34,2002-11-01,2002,11,2516.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
35,2002-12-01,2002,12,2519.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
36,2003-01-01,2003,01,2446.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
37,2003-02-01,2003,02,2445.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
38,2003-03-01,2003,03,2471.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
39,2003-04-01,2003,04,2498.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
40,2003-05-01,2003,05,2520.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
41,2003-06-01,2003,06,2531.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
42,2003-07-01,2003,07,2510.2,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
43,2003-08-01,2003,08,2508.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
44,2003-09-01,2003,09,2516.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
45,2003-10-01,2003,10,2522.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
46,2003-11-01,2003,11,2529.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
47,2003-12-01,2003,12,2536.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
48,2004-01-01,2004,01,2459.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
49,2004-02-01,2004,02,2467.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
50,2004-03-01,2004,03,2501.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
51,2004-04-01,2004,04,2518.2,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
52,2004-05-01,2004,05,2541.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
53,2004-06-01,2004,06,2553.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
54,2004-07-01,2004,07,2539.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
55,2004-08-01,2004,08,2540.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
56,2004-09-01,2004,09,2545.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
57,2004-10-01,2004,10,2560.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
58,2004-11-01,2004,11,2568.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
59,2004-12-01,2004,12,2577.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
60,2005-01-01,2005,01,2495.6,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
61,2005-02-01,2005,02,2510.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
62,2005-03-01,2005,03,2530.9,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
63,2005-04-01,2005,04,2561.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
64,2005-05-01,2005,05,2581.5,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
65,2005-06-01,2005,06,2592.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
66,2005-07-01,2005,07,2581.8,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
67,2005-08-01,2005,08,2582.4,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
68,2005-09-01,2005,09,2596.1,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
69,2005-10-01,2005,10,2594.3,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
70,2005-11-01,2005,11,2606.0,Maryland,Statewide,Total Nonfarm,Total Nonfarm,"All Employees, In Thousands"
