observation_date,GDPALL24510
2001-01-01,29814418
2002-01-01,30073717
2003-01-01,30523492
2004-01-01,31452389
2005-01-01,33244706
2006-01-01,34480107
2007-01-01,34821802
2008-01-01,35461422
2009-01-01,35934063
2010-01-01,37407897
2011-01-01,38285876
2012-01-01,39516198
2013-01-01,40633467
2014-01-01,42145177
2015-01-01,43871059
2016-01-01,46182253
2017-01-01,47896519
2018-01-01,49279670
2019-01-01,49714441
2020-01-01,49224054
2021-01-01,53508532
2022-01-01,57823589
2023-01-01,61733700
2024-01-01,65578972
