observation_date,LAUCN245100000000005A
1990-01-01,312117
1991-01-01,303593
1992-01-01,298849
1993-01-01,296357
1994-01-01,291256
1995-01-01,287332
1996-01-01,283055
1997-01-01,279205
1998-01-01,272468
1999-01-01,268091
2000-01-01,263514
2001-01-01,261433
2002-01-01,255735
2003-01-01,255320
2004-01-01,253658
2005-01-01,255001
2006-01-01,259566
2007-01-01,263730
2008-01-01,264991
2009-01-01,255565
2010-01-01,263211
2011-01-01,264381
2012-01-01,268157
2013-01-01,269372
2014-01-01,270808
2015-01-01,273886
2016-01-01,286094
2017-01-01,287901
2018-01-01,286532
2019-01-01,288329
2020-01-01,266224
2021-01-01,261588
2022-01-01,265827
2023-01-01,268757
2024-01-01,271271
