observation_date,SMS24925810000000001
1990-01-01,458.7
1991-01-01,427.2
1992-01-01,415.6
1993-01-01,410.4
1994-01-01,405.2
1995-01-01,401.2
1996-01-01,396.6
1997-01-01,397.3
1998-01-01,396.4
1999-01-01,404.2
2000-01-01,405.6
2001-01-01,394.1
2002-01-01,386.9
2003-01-01,380.1
2004-01-01,370.9
2005-01-01,368.2
2006-01-01,363.9
2007-01-01,361.9
2008-01-01,358.5
2009-01-01,347.9
2010-01-01,347.5
2011-01-01,351.1
2012-01-01,357.1
2013-01-01,359.9
2014-01-01,359.4
2015-01-01,362.9
2016-01-01,367.0
2017-01-01,371.7
2018-01-01,376.0
2019-01-01,375.4
2020-01-01,356.4
2021-01-01,362.8
2022-01-01,371.0
2023-01-01,372.5
2024-01-01,378.5
